date,price,open,high,low,vol,change %
2016-03-10,11.75,11.2,11.85,11.07,0.00k,4.91%
2016-03-11,11.95,11.75,11.95,11.75,0.18k,1.70%
2016-03-12,12.92,11.95,13.45,11.95,0.83k,8.12%
2016-03-13,15.07,12.92,15.07,12.92,1.30k,16.64%
2016-03-14,12.5,15.07,15.07,11.4,92.18k,-17.05%
2016-03-15,13.06,12.63,13.42,11.98,39.73k,4.48%
2016-03-16,12.88,13.06,13.89,12.62,19.24k,-1.38%
2016-03-17,10.74,12.58,12.61,10.44,89.45k,-16.61%
2016-03-18,10.74,11.09,11.2,8.34,157.37k,0.00%
2016-03-19,10.31,10.97,11.1,9.78,67.55k,-4.00%
2016-03-20,10.18,10.55,10.88,9.56,33.18k,-1.26%
2016-03-21,11.95,10.18,12.05,10.14,38.86k,17.39%
2016-03-22,11.37,11.53,11.97,11.08,26.29k,-4.85%
2016-03-23,12.43,11.37,12.43,11.2,27.02k,9.32%
2016-03-24,11.2,12.43,12.47,10.67,50.80k,-9.90%
2016-03-25,10.67,11.32,11.35,10.52,87.42k,-4.73%
2016-03-26,11,10.67,11.2,10.58,16.12k,3.09%
2016-03-27,10.4,10.93,10.98,10.17,55.81k,-5.45%
2016-03-28,11.62,10.4,11.94,10.4,77.31k,11.73%
2016-03-29,11.79,11.78,11.88,11.37,47.57k,1.46%
2016-03-30,11.85,11.79,12.3,11.44,36.96k,0.51%
2016-03-31,11.41,11.92,12.02,11.29,32.67k,-3.71%
2016-04-01,11.62,11.41,11.94,11.39,22.20k,1.84%
2016-04-02,11.61,11.65,11.77,11.43,12.17k,-0.09%
2016-04-03,11.75,11.61,11.76,11.4,18.85k,1.21%
2016-04-04,11.15,11.6,11.67,10.88,38.74k,-5.11%
2016-04-05,10.4,11.15,11.15,9.7,53.39k,-6.73%
2016-04-06,10.76,10.4,10.96,10.2,40.04k,3.46%
2016-04-07,10.12,10.76,10.85,9.4,50.74k,-5.95%
2016-04-08,9.71,10.05,10.34,9.6,25.97k,-4.05%
2016-04-09,9.15,9.69,10.2,9,64.96k,-5.77%
2016-04-10,8.76,9.15,9.43,7.52,171.99k,-4.26%
2016-04-11,8.68,8.56,8.93,8.01,60.28k,-0.91%
2016-04-12,7.53,8.53,8.54,7.21,63.82k,-13.25%
2016-04-13,8.09,7.48,8.8,6.86,142.21k,7.44%
